Регион РФ;Административный район;Населённый пункт;Улица;Плановое начало отключения Дата;Плановое начало отключения Время;Плановое восстановление Дата;Плановое восстановление Время;Филиал;РЭС;Комментарий
Ленинградская область;Ломоносовский район;"Б. Ижора.,  СНТ ""Якорь""";ч/с,  промзона и др. объекты;26-09-2023;11:00;26-09-2023;15:00;Южные электрические сети;Петродворцовый  РЭС;Отключение ф. Ирмино-07 26.09.2023г. с 11:00 до 15:00 для выполнения задания по изменению уставок РЗА на ПС Ирмино по ф. Ирм-07.
Санкт-Петербург;Невский район;Санкт-Петербург;ул.Народная, д49, д51, д53, д55, д57, д59, д59к1, д61, д61к2;26-09-2023;11:00;26-09-2023;17:00;Кабельная сеть;Правобережный РЭС;
Санкт-Петербург;Фрунзенский район;г. Санкт-Петербург;"Альпийский пер.,  д. 5,  к.2; д. 7; д. 9,  к.1,  к.2,  к.3; д. 11,  к.1,  к.2; д. 13,  к.1,  к.2; д. 15,  к.3.";26-09-2023;11:00;26-09-2023;17:00;Кабельная сеть;Невский РЭС;
Санкт-Петербург;Фрунзенский район;г. Санкт-Петербург;пр. Славы,  д. 2,  к.1,  к.2.;26-09-2023;11:00;26-09-2023;17:00;Кабельная сеть;Невский РЭС;
Санкт-Петербург;Выборгский район (СПб);Санкт-Петербург;пр. Просвещения д.19;26-09-2023;10:00;26-09-2023;17:00;Кабельная сеть;Северный РЭС;
Санкт-Петербург;Приморский район (СПб);Санкт-Петербург;ул. Плесецкая д. 8 к. 1,  ул. Плесецкая д. 8 к. 2,  пр. Авиаконструкторов д. 61 стр. 1;26-09-2023;10:00;26-09-2023;15:00;Кабельная сеть;Западный РЭС;
Санкт-Петербург;Василеостровский район;Санкт-Петербург;ул. Одоевского,  д. 24 к. 2;26-09-2023;10:00;26-09-2023;17:00;Кабельная сеть;Островной РЭС;Перевод нагрузки на Т-2
Ленинградская область;Всеволожский район;ДНП Новые Дубки,  СНТ Долина ветров,  Майна,  Чайка,  Грузино 3, 4,  Культура,  1, 2 Подём воды.;;26-09-2023;09:00;26-09-2023;17:00;Северные электрические сети;Сертоловский РЭС;
Санкт-Петербург;Курортный район;г.Зеленогорск;Территория Красавица участок 1 (западнее д. 45,  литер А,  ), Территория Красавица д.11 ,  лит. А, Территория Красавица д.13 ,  лит. А, Территория Красавица 14 ,  лит. А, Территория Красавица д.15 ,  лит. А, Территория Красавица д.17 ,  лит. А, Территория Красавица д.26 ,  лит. А, Территория Красавица д.27 ,  лит. А, Территория Красавица д.28 ,  лит. А, Территория Красавица водозаборные скважины,  станции очистки,  насосная скважина,  водонапорная башня;26-09-2023;09:00;26-09-2023;20:00;Северные электрические сети;Курортный РЭС;Установка УТКЗ
Санкт-Петербург;Курортный район;г.Зеленогорск;Территория Красавица д.8 , Территория Красавица д.9 ,  лит. А, Территория Красавица д.10 ,  лит. А, Территория Красавица д.16 ,  лит. А, Территория Красавица д.20 , Территория Красавица д.12 ,  лит. А;26-09-2023;09:00;26-09-2023;09:00;Северные электрические сети;Курортный РЭС;Установка УТКЗ
Санкт-Петербург;Курортный район;г.Зеленогорск;территория Красавица д.23 , территория Красавица д.3 , территория Красавица д.47 , территория Красавица,  д.6, 6Б;26-09-2023;09:00;26-09-2023;20:00;Северные электрические сети;Курортный РЭС;Установка УТКЗ
Санкт-Петербург;Курортный район;г.Зеленогорск;территория Красавица,  д. уч.1 (южнее д. 23,  лит. А);26-09-2023;09:00;26-09-2023;20:00;Северные электрические сети;Курортный РЭС;Установка УТКЗ
Ленинградская область;Подпорожский район;Вознесенье,  Красный Бор,  Щелейки,  Гимрека,  Володарская;;26-09-2023;09:00;26-09-2023;17:00;Новоладожские ЭС;Лодейнопольский РЭС;
